,Document No.,Document Title
20197,079254C-1M50-PID-0041-690-02,PIPING & INSTRUMENT DIAGRAM - FLARE UNIT (FLAU) - API PLAN 53B+COOLING PLAN M FOR VERTICAL PUMPS
20198,,HSE SAFTEY AND FIRE 19
20199,079254C-1M50-PID-1931-701-01,"PIPING AND INSTRUMENT DIAGRAM
FLAU - UNIT 50 FIRE WATER
NETWORK"
20200,079254C-1M50-PID-1931-701-01,"PIPING AND INSTRUMENT DIAGRAM
FLAU - UNIT 50 FIRE WATER
NETWORK"
20201,079254C-1M50-PID-1931-701-01,"PIPING AND INSTRUMENT DIAGRAM
FLAU - UNIT 50 FIRE WATER
NETWORK"
20202,079254C-1M50-PID-1931-702-01,"PIPING AND INSTRUMENT DIAGRAM
FLAU - UNIT 50 FIXED WATER
SPRAY SYSTEM
DELUGE SYSTEM FOR 1M50-DV-9501"
20203,079254C-1M50-PID-1931-702-01,"PIPING AND INSTRUMENT DIAGRAM
FLAU - UNIT 50 FIXED WATER
SPRAY SYSTEM
DELUGE SYSTEM FOR 1M50-DV-9501"
20204,079254C-1M50-PID-1931-702-01,"PIPING AND INSTRUMENT DIAGRAM
FLAU - UNIT 50 FIXED WATER
SPRAY SYSTEM
DELUGE SYSTEM FOR 1M50-DV-9501"
20205,,SPECIFICATIONS SP
20206,,DRUMS 08
20207,079254C-1M50-SP-0810-001,"MECHANICAL DATA SHEET FOR
DRUMS - HYDROCARBONS FLARE KO
DRUM - 50-V-001"
20208,079254C-1M50-SP-0810-002,"MECHANICAL DATA SHEET FOR
DRUMS - ACID FLARE KO DRUM
(50-V-002)"
20209,079254C-1M50-SP-0810-003,"MECAHNICAL DATA SHEET FOR HC
FLARE LIQUID SEAL DRUM 50-V-
003"
20210,079254C-1M50-SP-0810-004,"MECHANICAL DATA SHEET FOR ACID
FLARE LIQUID SEAL DRUM 50-V-
004"
20211,079254C-1M50-SP-0810-004,"MECHANICAL DATA SHEET FOR ACID
FLARE LIQUID SEAL DRUM 50-V-
004"
20212,079254C-1M50-SP-0810-005,"MECHANICAL DATA SHEET FOR
DRUMS - SOUR WATER DRAIN DRUM
(50-V-005)"
20213,,PUMPS 09 
20214,079254C-1M50-SP-0910-001,"MECHANICAL DATA SHEET FOR
FLARE KO DRUM PUMP OUT PUMPS
50-P-001 A/B"
20215,079254C-1M50-SP-0910-003,"MECHANICAL DATA SHEET FOR SOUR
WATER DRAIN DRUM PUMP 50-P-003
A/B"
20216,,INSTRUMENTATION 15
20217,079254C-1M50-SP-1541-006,"INSTRUMENT DATA SHEETS
FOR CONTROL VALVES - UNIT 50"
20218,079254C-1M50-SP-1541-006,"INSTRUMENT DATA SHEETS
FOR CONTROL VALVES - UNIT 50"
20219,079254C-1M50-SP-1541-006,"INSTRUMENT DATA SHEETS
FOR CONTROL VALVES - UNIT 50"
20220,079254C-1M50-SP-1541-008,"INSTRUMENT DATA SHEETS
FOR CONTROL VALVES - UNIT 50"
20221,079254C-1M50-SP-1541-008,"INSTRUMENT DATA SHEETS
FOR CONTROL VALVES - UNIT 50"
20222,079254C-1M50-SP-1541-008,"INSTRUMENT DATA SHEETS
FOR CONTROL VALVES - UNIT 50"
20223,079254C-1M50-SP-1542-007,"INSTRUMENT DATA SHEETS
FOR DESUPERHEATERS UNIT 50"
20224,079254C-1M50-SP-1542-007,"INSTRUMENT DATA SHEETS
FOR DESUPERHEATERS UNIT 50"
20225,079254C-1M50-SP-1543-001,"INSTRUMENT DATA SHEETS FOR
AUTOMATIC ON/OFF VALVES - UNIT 1M50"
20226,079254C-1M50-SP-1543-001,"INSTRUMENT DATA SHEETS FOR
AUTOMATIC ON/OFF VALVES - UNIT 1M50"
20227,079254C-1M50-SP-1545-001,"INSTRUMENT DATA SHEETS
FOR SAFETY RELIEF VALVES
UNIT 50"
20228,079254C-1M50-SP-1546-001,MECHANICAL D/S RESTRICTION ORIFICE UNIT 1M50
20229,079254C-1M50-SP-1546-002,MECHANICAL D/S ORIFICE PLATE UNIT 1M50
20230,079254C-1M50-SP-1546-002,MECHANICAL D/S ORIFICE PLATE UNIT 1M50
20231,079254C-1M50-SP-1546-002,MECHANICAL D/S ORIFICE PLATE UNIT 1M50
20232,079254C-1M50-SP-1546-002,MECHANICAL D/S ORIFICE PLATE UNIT 1M50
20233,079254C-1M50-SP-1546-004,MECHANICAL D/S ORIFICE PLATE UNIT 1M50
20234,079254C-1M50-SP-1546-004,MECHANICAL D/S ORIFICE PLATE UNIT 1M50
20235,079254C-1M50-SP-1546-004,MECHANICAL D/S ORIFICE PLATE UNIT 1M50
20236,079254C-1M50-SP-1546-004,MECHANICAL D/S ORIFICE PLATE UNIT 1M50
20237,079254C-1M50-SP-1546-009,MECHANICAL D/S INTEGRAL OREFICE UNIT 1M50
20238,079254C-1M50-SP-1546-009,MECHANICAL D/S INTEGRAL OREFICE UNIT 1M50
20239,079254C-1M50-SP-1546-009,MECHANICAL D/S INTEGRAL OREFICE UNIT 1M50
20240,079254C-1M50-SP-1547-001,"MECHANICAL DATA SHEET VORTEX
FLOW METER UNIT 1M50"
20241,079254C-1M50-SP-1547-001,"MECHANICAL DATA SHEET VORTEX
FLOW METER UNIT 1M50"
20242,079254C-1M50-SP-1547-001,"MECHANICAL DATA SHEET VORTEX
FLOW METER UNIT 1M50"
20243,079254C-1M50-SP-1547-002,"D/S MECHANICAL ROTAMETER UNIT
1M50"
20244,079254C-1M50-SP-1547-003,"INSTRUMENT DATA SHEET TURBINE
FLOW METER UNIT 1M50"
20245,079254C-1M50-SP-1547-003,"INSTRUMENT DATA SHEET TURBINE
FLOW METER UNIT 1M50"
20246,079254C-1M50-SP-1547-003,"INSTRUMENT DATA SHEET TURBINE
FLOW METER UNIT 1M50"
20247,079254C-1M50-SP-1547-005,"MECHANICAL DATA SHEET
ELECTROMAGNETIC FLOW METER
UNIT 50"
20248,079254C-1M50-SP-1547-007,MECHANICAL DATA SHEET ULTRASONIC FLOW METER UNIT 50
20249,079254C-1M50-SP-1547-007,MECHANICAL DATA SHEET ULTRASONIC FLOW METER UNIT 50
20250,079254C-1M50-SP-1552-004,"INSTRUMENT DATA SHEET FOR
MAGNETIC LEVEL GAUGES - UNIT
1M50"
20251,079254C-1M50-SP-1552-004,"INSTRUMENT DATA SHEET FOR
MAGNETIC LEVEL GAUGES - UNIT
1M50"
20252,079254C-1M50-SP-1552-006,"INSTRUMENT DATA SHEET FOR
RADAR LEVEL INSTRUMEN - UNIT
1M50"
20253,079254C-1M50-SP-1553-001,"INSTRUMENT DATA SHEETS FOR
ELECTRONIC TRANSMITTER UNIT
1M50"
20254,079254C-1M50-SP-1553-002,"INSTRUMENT DATA SHEETS FOR
PRESSURE GAUGE AND
DIFFERENTIAL PRESSURE GAUGE
UNIT 1M50"
20255,079254C-1M50-SP-1553-002,"INSTRUMENT DATA SHEETS FOR
PRESSURE GAUGE AND
DIFFERENTIAL PRESSURE GAUGE
UNIT 1M50"
20256,079254C-1M50-SP-1553-002,"INSTRUMENT DATA SHEETS FOR
PRESSURE GAUGE AND
DIFFERENTIAL PRESSURE GAUGE
UNIT 1M50"
20257,079254C-1M50-SP-1554-003,"DATA SHEET THERMOMETERS WITH
WELLS AND TEST WELLS UNIT 1M50"
20258,079254C-1M50-SP-1566-001,"INSTRUMENT DATA SHEET FOR FIRE
AND GAS INSTRUMENT - UNIT 1M50"
20259,079254C-1M50-SP-1566-001,"INSTRUMENT DATA SHEET FOR FIRE
AND GAS INSTRUMENT - UNIT 1M50"
20260,,TECHNICAL SITE INSTRUCTION
20261,,PIPING 13
20262,079254C-1M50-TSI-PTJ-13-00001,ECHNICAL SITE INSTRUCTION - UPDATED ROUTING AND ADDED DRAIN
20263,079254C-1M50-TSI-PTJ-13-00002,"TECHNICAL SITE INSTRUCTION - UPDATED LENGTH ON LONG WELDING NECK FOR INSTALLATION TG AND
TT"
20264,079254C-1M50-TSI-PTJ-13-00003,TECHNICAL SITE INSTRUCTION -UPDATE LOCATION OF NOZZLE IN 50-E•-001
20265,079254C-1M50-TSI-PTJ-13-00004,"TECHNICAL SITE INSTRUCTION FOR
REVISED FLARE UNIT PLOT PLAN
SHEET 01-02"
20266,079254C-1M50-TSI-PTJ-13-00005,"TECHNICAL SITE INSTRUCTION -
ADJUST SHOE ON THE PIPE 8"""
20267,079254C-1M50-TSI-PTJ-13-00006,"TECHNICAL SITE INSTRUCTION -
INSERTED PLATES ON THE PIPE 8""
AND 2"""
20268,079254C-1M50-TSI-PTJ-13-00007,"TECHNICAL SITE INSTRUCTION - INSERTED PLATES ON THE PIPE 8"" AND 2"""
20269,079254C-1M50-TSI-PTJ-13-00008,TECHNICAL SITE INSTRUCTION - INSERTION OF SS PLATES IN UBOLTS SUPPORTS OF FLARE PACKAGE 50-PK-001/002
20270,,UNDERGROUND 14
20271,079254C-1M50-TSI-PTJ-14-00001,"TECHNICAL SITE INSTRUCTION -CLARIFICATION OF GRATING ARRANGEMENT OF GRATING DRAINAGE 
TRENCH ITEMS"
20272,079254C-1M50-TSI-PTJ-14-00001,"TECHNICAL SITE INSTRUCTION -CLARIFICATION OF GRATING ARRANGEMENT OF GRATING DRAINAGE 
TRENCH ITEMS"
20273,079254C-1M50-TSI-PTJ-14-00002,"TECHNICAL SITE INSTRUCTION -
MODIFY EMBOSSED PLATE COVERS
DATA FOR VALVES WITH EXTENSION
STEM"
20274,079254C-1M50-TSI-PTJ-14-00003,"TECHNICAL SITE INSTRUCTION -
LOCATION OF NEW
PIEZOMETERS(BH-402&BH-407-PZ)
WITH ITS PROTECTION PITS"
20275,079254C-1M50-TSI-PTJ-14-00003,"TECHNICAL SITE INSTRUCTION -
LOCATION OF NEW
PIEZOMETERS(BH-402&BH-407-PZ)
WITH ITS PROTECTION PITS"
20276,079254C-1M50-TSI-PTJ-14-00004,TECHNICAL SITE INSTRUCTION - REVISED THE BOTTOM ELEVATION FOR BOTH CABLE DUCT BANK
20277,,INSTRUMENT 15
20278,079254C-1M50-TSI-PTJ-15-00001,TECHNICAL SITE INSTRUCTION - PAGA CABLES SEGREGATION UNIT 1M50
20279,,ELECTERICAL 16
20280,079254C-1M50-TSI-PTJ-16-00001,TECHNICAL SITE INSTRUCTION -NEW TAGS FOR AIRCRAFT WARNING LIGHT FIXTURES ON FLARE SYSTEM
20281,,CIVIL 17
20282,079254C-1M50-TSI-PTJ-17-00001,TECHNICAL SITE INSTRUCTION
20283,079254C-1M50-TSI-PTJ-17-00002,TECHNICAL SITE INSTRUCTION
20284,079254C-1M50-TSI-PTJ-17-00003,TECHNICAL SITE INSTRUCTION
20285,079254C-1M50-TSI-PTJ-17-00004,TECHNICAL SITE INSTRUCTION
20286,079254C-1M50-TSI-PTJ-17-00005,"TECHNICAL SITE INSTRUCTION -
MISMATCHING OF REINFORCEMENT
BETWEEN FOUNDATION PLAN AND
SECTION A-A - DIA.16/250"
20287,079254C-1M50-TSI-PTJ-17-00006,"TECHNICAL SITE INSTRUCTION -
REINFORCEMENT BARS"
20288,079254C-1M50-TSI-PTJ-17-00007,"TECHNICAL SITE INSTRUCTION -
FOUNDATION TYPE 4 - VERTICAL
REBARS MUST BE 40 DIAM 28
INSTEAD DIAM 32"
20289,079254C-1M50-TSI-PTJ-17-00008,"TECHNICAL SITE INSTRUCTION -
FOUNDATION TYPE ""1"" VERTICAL
BAR MUST BE N° 24 DIAM 28 AS
INDICATED IN SECTIO A-A
REINFORCE"
20290,079254C-1M50-TSI-PTJ-17-00009,"TECHNICAL SITE INSTRUCTION -
CLARIFICATION OF REBAR
DIAMETER AT PARTITION WALL
BASIN 51-BA-601"
20291,079254C-1M50-TSI-PTJ-17-00010,"TECHNICAL SITE INSTRUCTION -
CLARIFICATION OF REBAR SPCAING
AT SLAB OF FOUNDATION OF TANK
50-V-003"
20292,079254C-1M50-TSI-PTJ-17-00011,"TECHNICAL SITE INSTRUCTION -
FOUNDATION TYPE 13 & 14:
DIMENSION, BOLTS, LOCATION"
20293,079254C-1M50-TSI-PTJ-17-00011,"TECHNICAL SITE INSTRUCTION - FOUNDATION TYPE 13, 14 & 15 (ADDED) : DIMENSION, BOLTS, LOCATION"
20294,079254C-1M50-TSI-PTJ-17-00012,"TECHNICAL SITE INSTRUCTION -
CLARIFICATION OF POSTINSTALLED
ANCHORS ON DETAIL 2
& DETAIL 3"
20295,079254C-1M50-TSI-PTJ-17-00013,TECHNICAL SITE INSTRUCTION FOR HANDRAIL OF CONCRETE RETAINING WALL OF UNIT 1M50 SUPPLY BY SUBCONTRACTOR
20296,079254C-1M50-TSI-PTJ-17-00014,"TSI - LATEST REVIEW DOCUMENTS, INCLUDING TECHNICAL SITE INSTRUCTION AND THE ANSWER TO TECHNICAL QUERY RAISED BY PTJLCS"
20297,079254C-1M50-TSI-PTJ-17-00015,TSI - RELEASE FOR CONSTRUCTION CONCRETE WORKS IN FLARE AREA
20298,079254C-1M50-TSI-PTJ-17-00016,TSI - SOIL SUBSTITUTION FOR 50-BA-001
20299,079254C-1M50-TSI-PTJ-17-00016,TSI - SOIL SUBSTITUTION FOR 50-BA-001
20300,079254C-1M50-TSI-PTJ-17-00017,TSI - SOIL SUBSTITUTION FOR 50-BA-001
20301,079254C-1M50-TSI-PTJ-17-00017,TSI - SOIL SUBSTITUTION FOR 50-BA-001
20302,079254C-1M50-TSI-PTJ-17-00017,TSI - SOIL SUBSTITUTION FOR 50-BA-001
20303,,STEEL STRUCTURE 18
20304,079254C-1M50-TSI-PTJ-18-00001,"TECHNICAL SITE INSTRUCTION - CLARIFICATION OF ADJUSTMENT ACTIVITIES ON STEEL MEMBERS OF
50-PR-401 AS PER LCS SCOPE OF WOR"
20305,079254C-1M50-TSI-PTJ-18-00002,TSI -CLARIFICATION OF ADJUSTMENT ACTIVITIES ON STEEL MEMBERS OF 50-PR-500 AS PER LCS SCOPE OF WORK (INFORMATION ALREADY
20306,079254C-1M50-TSI-PTJ-18-00003,"TSI - BASIN 50-BA-001 - CHANGE
IN THE GENERAL ARRANGEMENT OF
STEEL MEMBERS WITHIN BASIN"
20307,,MICHANICAL 68
20308,079254C-1M50-TSI-PTJ-68-00001,TECHNICAL SITE INSTRUCTION -PROCEDURE FOR REPAIRING DERRICK STRUCTURE DAMAGE (IMSR-0059)
20309,,UNIT 1M58
20310,,DRAWINGS
20311,,PROCESS & LAYOUTS 00
20312,079254C-1M58-DW-0051-001-01,"REFINERY INTERCONNECTING
UTILITY UNIT PLOT PLAN (RIU)"
20313,079254C-1M58-DW-0051-001-01,"REFINERY INTERCONNECTING
UTILITY UNIT PLOT PLAN (RIU)"
20314,079254C-1M58-DW-0051-001-02,"REFINERY INTERCONNECTING
UTILITY UNIT PLOT PLAN (RIU)"
20315,079254C-1M58-DW-0051-001-02,"REFINERY INTERCONNECTING
UTILITY UNIT PLOT PLAN (RIU)"
20316,079254C-1M58-DW-0051-001-03,"REFINERY INTERCONNECTING
UTILITY UNIT 58 (RIU) 38 (CCU)
- DETAILED PLOT PLAN"
20317,079254C-1M58-DW-0051-001-03,"REFINERY INTERCONNECTING
UTILITY UNIT 58 (RIU) 38 (CCU)
- DETAILED PLOT PLAN"
20318,079254C-1M58-DW-0051-001-05,"REFINERY INTERCONNECTING
UTILITY UNIT PLOT PLAN (RIU)"
20319,079254C-1M58-DW-0051-001-05,"REFINERY INTERCONNECTING
UTILITY UNIT PLOT PLAN (RIU)"
20320,079254C-1M58-DW-0051-001-06,"REFINERY INTERCONNECTING
UTILITY UNIT PLOT PLAN (RIU)"
20321,079254C-1M58-DW-0051-001-06,"REFINERY INTERCONNECTING
UTILITY UNIT PLOT PLAN (RIU)"
20322,079254C-1M58-DW-0053-001-01,REFINERY INTERCONNECTING UTILITIES - UNIT 58 (RIU) - KEY PLAN
20323,079254C-1M58-DW-0053-001-01,REFINERY INTERCONNECTING UTILITIES - UNIT 58 (RIU) - KEY PLAN
20324,079254C-1M58-DW-0053-001-02,REFINERY INTERCONNECTING UTILITIES - UNIT 58 (RIU) - KEY PLAN
20325,079254C-1M58-DW-0053-001-02,REFINERY INTERCONNECTING UTILITIES - UNIT 58 (RIU) - KEY PLAN
20326,079254C-1M58-DW-0053-001-03,REFINERY INTERCONNECTING UTILITIES - UNIT 58 (RIU) - KEY PLAN
20327,079254C-1M58-DW-0053-001-03,REFINERY INTERCONNECTING UTILITIES - UNIT 58 (RIU) - KEY PLAN
20328,079254C-1M58-DW-0053-001-04,REFINERY INTERCONNECTING UTILITIES - UNIT 58 (RIU) - KEY PLAN
20329,079254C-1M58-DW-0053-001-04,REFINERY INTERCONNECTING UTILITIES - UNIT 58 (RIU) - KEY PLAN
20330,079254C-1M58-DW-0053-001-05,REFINERY INTERCONNECTING UTILITIES -UNIT 58 (RIU) - KEY PLAN
20331,079254C-1M58-DW-0053-001-05,REFINERY INTERCONNECTING UTILITIES -UNIT 58 (RIU) - KEY PLAN
20332,079254C-1M58-DW-0054-001-01,REFINERY INTERCONNECTING UTILITY (RIU) - STEAM & CONDENSATE MANIFOLDS LOCATION PLAN
20333,079254C-1M58-DW-0054-001-01,REFINERY INTERCONNECTING UTILITY (RIU) - STEAM & CONDENSATE MANIFOLDS LOCATION PLAN
20334,079254C-1M58-DW-0054-001-01,REFINERY INTERCONNECTING UTILITY (RIU) - STEAM & CONDENSATE MANIFOLDS LOCATION PLAN
20335,079254C-1M58-DW-0054-001-02,REFINERY INTERCONNECTING UTILITY (RIU) - STEAM & CONDENSATE MANIFOLDS LOCATION PLAN
20336,079254C-1M58-DW-0054-001-02,REFINERY INTERCONNECTING UTILITY (RIU) - STEAM & CONDENSATE MANIFOLDS LOCATION PLAN
20337,079254C-1M58-DW-0054-001-02,REFINERY INTERCONNECTING UTILITY (RIU) - STEAM & CONDENSATE MANIFOLDS LOCATION PLAN
20338,079254C-1M58-DW-0054-001-03,REFINERY INTERCONNECTING UTILITY (RIU) - STEAM & CONDENSATE MANIFOLDS LOCATION PLAN
20339,079254C-1M58-DW-0054-001-03,REFINERY INTERCONNECTING UTILITY (RIU) - STEAM & CONDENSATE MANIFOLDS LOCATION PLAN
20340,079254C-1M58-DW-0054-001-03,REFINERY INTERCONNECTING UTILITY (RIU) - STEAM & CONDENSATE MANIFOLDS LOCATION PLAN
20341,079254C-1M58-DW-0054-001-04,REFINERY INTERCONNECTING UTILITY (RIU) - STEAM & CONDENSATE MANIFOLDS LOCATION PLAN
20342,079254C-1M58-DW-0054-001-04,REFINERY INTERCONNECTING UTILITY (RIU) - STEAM & CONDENSATE MANIFOLDS LOCATION PLAN
20343,079254C-1M58-DW-0054-001-04,REFINERY INTERCONNECTING UTILITY (RIU) - STEAM & CONDENSATE MANIFOLDS LOCATION PLAN
20344,079254C-1M58-DW-0056-001-01,UTILITIES STATIONS UNIT PLOT PLAN - (UNIT 58)
20345,079254C-1M58-DW-0056-001-01,UTILITIES STATIONS UNIT PLOT PLAN - (UNIT 58)
20346,079254C-1M58-DW-0056-001-01,UTILITIES STATIONS UNIT PLOT PLAN - (UNIT 58)
20347,079254C-1M58-DW-0056-001-02,UTILITIES STATIONS UNIT PLOT PLAN - (UNIT 58 - RIU)
20348,079254C-1M58-DW-0056-001-02,UTILITIES STATIONS UNIT PLOT PLAN - (UNIT 58 - RIU)
20349,079254C-1M58-DW-0056-001-02,UTILITIES STATIONS UNIT PLOT PLAN - (UNIT 58 - RIU)
20350,,PIPING 13
20351,079254C-1M58-DW-1332-012-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S01-01 FROM EL. 108000 TO
110000"
20352,079254C-1M58-DW-1332-013-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S01-02 FROM EL. 108000 TO
115000"
20353,079254C-1M58-DW-1332-014-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S01-03 FROM EL. 108000 TO
115000"
20354,079254C-1M58-DW-1332-015-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S01-04 FROM EL. 108000 TO
115000"
20355,079254C-1M58-DW-1332-016-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S01-05 FROM EL. 108000 TO
110000"
20356,079254C-1M58-DW-1332-017-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S01-06 FROM EL. 108000 TO
112000"
20357,079254C-1M58-DW-1332-018-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S01-07 FROM EL. 108000 TO
112000"
20358,079254C-1M58-DW-1332-019-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S01-08 FROM EL. 108000 TO
110000"
20359,079254C-1M58-DW-1332-020-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S01-09 FROM EL. 108000 TO
110000"
20360,079254C-1M58-DW-1332-021-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S01-10 FROM EL. 108000 TO
112000"
20361,079254C-1M58-DW-1332-022-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S01-11 FROM EL. 108000 TO
112000"
20362,079254C-1M58-DW-1332-023-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R01-01 FROM EL.
108000 TO UP"
20363,079254C-1M58-DW-1332-024-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R01-02 FROM EL.
110000 TO UP"
20364,079254C-1M58-DW-1332-025-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R02-01 FROM EL.
108000 TO 112350"
20365,079254C-1M58-DW-1332-025-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R02-01 FROM EL.
112350 TO 116100"
20366,079254C-1M58-DW-1332-025-03,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R02-01 FROM EL.
116100 TO 117700"
20367,079254C-1M58-DW-1332-025-04,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R02-01 FROM EL.
117700 TO UP"
20368,079254C-1M58-DW-1332-026-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R02-02 FROM EL.
110000 TO 111500"
20369,079254C-1M58-DW-1332-026-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R02-02 FROM EL.
111500 TO UP"
20370,079254C-1M58-DW-1332-027-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R03-01 FROM EL.
110000 TO UP"
20371,079254C-1M58-DW-1332-028-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R04-01 FROM EL.
108000 TO UP"
20372,079254C-1M58-DW-1332-029-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R04-02 FROM EL.
110000 TO UP"
20373,079254C-1M58-DW-1332-041-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S02-01 FROM EL. 108000 TO
112000"
20374,079254C-1M58-DW-1332-042-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S02-02 FROM EL. 108000 TO
111000"
20375,079254C-1M58-DW-1332-043-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S02-03 FROM EL. 108000 TO
111000"
20376,079254C-1M58-DW-1332-044-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S02-04 FROM EL. 108000 TO
111000"
20377,079254C-1M58-DW-1332-045-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S02-05 FROM EL. 108000 TO
111800"
20378,079254C-1M58-DW-1332-046-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S02-06 FROM EL. 108000 TO
109900"
20379,079254C-1M58-DW-1332-047-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S02-07 FROM EL. 108000 TO
111500"
20380,079254C-1M58-DW-1332-048-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S02-08 FROM EL. 108000 TO
111500"
20381,079254C-1M58-DW-1332-049-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S02-09 FROM EL. 108000 TO
112000"
20382,079254C-1M58-DW-1332-050-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S02-10 FROM EL. 108000 TO
111000"
20383,079254C-1M58-DW-1332-051-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S02-11 FROM EL. 108000 TO
114500"
20384,079254C-1M58-DW-1332-052-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R05-01 FROM EL.
108000 TO 116100"
20385,079254C-1M58-DW-1332-052-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R05-01 FROM EL.
116100 TO UP"
20386,079254C-1M58-DW-1332-053-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R05-02 FROM EL.
110000 TO 116100"
20387,079254C-1M58-DW-1332-053-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R05-02 FROM EL.
116100 TO UP"
20388,079254C-1M58-DW-1332-055-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R06-01 FROM EL.
110000 TO 111600"
20389,079254C-1M58-DW-1332-055-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R06-01 FROM EL.
111600 TO UP"
20390,079254C-1M58-DW-1332-056-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R07-01 FROM EL.
111000 TO 113500"
20391,079254C-1M58-DW-1332-056-02,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/PIPE RACK -
AREA 1M58R07-01 FROM EL.
113500 TO UP"
20392,079254C-1M58-DW-1332-067-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S03-01 FROM EL. 108000 TO
114500"
20393,079254C-1M58-DW-1332-068-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S03-01 FROM EL. 108000 TO
114500"
20394,079254C-1M58-DW-1332-069-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S03-03 FROM EL. 108000 TO
110000"
20395,079254C-1M58-DW-1332-070-01,"GENERAL ARRANGEMENT DRAWING -
UNIT 1M58 - RIU/SLEEPER - AREA
1M58S03-04 FROM EL. 108000 TO
112000"
